SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
Past Sale,Single Family Residential,3710 Dryden Rd,Fremont,CA,94555,668000,3,2.0,Cedar Cove,1450,5964,1977,2,Garage,,Sold,,,,,668000,2014-08-13,702000.0,http://www.redfin.com/CA/Fremont/3710-Dryden-Rd-94555/home/1982068,East Bay Regional Data (EBRD),40659207,Century 21-Alpha,N,Y,37.575598,-122.035435,false
Past Sale,Single Family Residential,5761 COMMERCE Dr,Fremont,CA,94555,679000,4,2.5,Fremont,1795,3744,1991,2,Garage,,Sold,,,,,679000,2012-04-24,665000.0,http://www.redfin.com/CA/Fremont/5761-Commerce-Dr-94555/home/2044058,MLSListings Inc. (MLSLI),ML81203087,Bay One Real Estate Investment Corporation,N,Y,37.557747,-122.057914,false
Past Sale,Single Family Residential,34383 MIMOSA Ter,Fremont,CA,94555,679000,3,2.5,Ardenwood,1597,4041,1991,2,Garage,,Sold,,,,,679000,2012-04-20,681000.0,http://www.redfin.com/CA/Fremont/34383-Mimosa-Ter-94555/home/1236987,East Bay Regional Data (EBRD),40562059,BayOne Real Estate Inv Corp,N,Y,37.55752,-122.059128,false
Past Sale,Single Family Residential,5424 Matthew,Fremont,CA,94555,495000,3,2.5,Fremont,1324,4020,1988,2,Garage,,Sold,,,,,495000,2012-08-02,484331.0,http://www.redfin.com/CA/Fremont/5424-Matthew-Ter-94555/home/1493919,East Bay Regional Data (EBRD),40579879,"Realty World-Kevin F. Garvey, Broker",N,Y,37.562028,-122.058005,false
Past Sale,Single Family Residential,34219 KENWOOD Dr,Fremont,CA,94555,699888,4,2.5,Ardenwood,1655,4835,1988,2,Garage,,Sold,,,,,699888,2013-03-19,744000.0,http://www.redfin.com/CA/Fremont/34219-Kenwood-Dr-94555/home/1927827,East Bay Regional Data (EBRD),40603452,Legacy Real Estate & Assoc.,N,Y,37.563173,-122.055812,false
Past Sale,Single Family Residential,5427 ALAMO Ter,Fremont,CA,94555,729000,4,2.5,Ardenwood,1762,3172,1988,2,Garage,,Sold,,,,,729000,2013-04-30,782000.0,http://www.redfin.com/CA/Fremont/5427-Alamo-Ter-94555/home/1149590,East Bay Regional Data (EBRD),40608383,Keller Williams Benchmark,N,Y,37.563544,-122.059456,false
Past Sale,Single Family Residential,5433 SUNSTAR Cmn,Fremont,CA,94555,648800,4,2.5,Ardenwood,1600,3315,1989,2,Garage,,Sold,,,,,648800,2013-05-31,760000.0,http://www.redfin.com/CA/Fremont/5433-Sunstar-Cmn-94555/home/2012479,East Bay Regional Data (EBRD),40612173,BayOne Real Estate Inv Corp,N,Y,37.561445,-122.056287,false
Past Sale,Single Family Residential,34264 TUPELO St,Fremont,CA,94555,649950,3,2.5,Ardenwood,1324,3039,1988,2,Garage,,Sold,,,,2013-06-25,679950,2013-08-12,660000.0,http://www.redfin.com/CA/Fremont/34264-Tupelo-St-94555/home/1520706,East Bay Regional Data (EBRD),40617170,Intero Real Estate Services,N,Y,37.560335,-122.058181,false
Past Sale,Single Family Residential,34225 KENWOOD Dr,Fremont,CA,94555,688888,3,2.5,Ardenwood,1354,3879,1988,2,Garage,,Sold,,,,,688888,2013-08-01,713000.0,http://www.redfin.com/CA/Fremont/34225-Kenwood-Dr-94555/home/1149782,East Bay Regional Data (EBRD),40619451,Legacy Real Estate & Assoc.,N,Y,37.563065,-122.055761,false
Past Sale,Single Family Residential,33593 BARDOLPH Cir,Fremont,CA,94555,675000,3,2.0,Ardenwood,1480,6103,1984,2,Garage,,Sold,,,,,675000,2013-08-02,730125.0,http://www.redfin.com/CA/Fremont/33593-Bardolph-Cir-94555/home/534434,East Bay Regional Data (EBRD),40619839,Legacy Real Estate & Associates,N,Y,37.572282,-122.058792,false
